step,key,operations,nanos
1144,265750,7,700
1145,434303,13,1000
1146,988160,7,32100
1147,936759,9,1600
1148,667227,9,1000
1149,521377,8,900
1150,673194,11,800
1151,212276,14,800
1152,157045,14,6800
1153,62724,14,2100
1154,585643,10,1300
1155,498397,8,900
1156,965579,4,900
1157,655873,7,800
1158,987179,6,700
1159,773754,8,1200
1160,147637,17,11700
1161,882771,7,900
1162,821929,12,900
1163,369068,11,900
1164,927544,3,700
1165,626695,10,900
1166,943820,9,6200
1167,106475,12,1000
1168,431643,14,5800
1169,30479,15,1000
1170,257479,9,700
1171,574888,15,5500
1172,300202,10,1000
1173,811703,12,1000
1174,290599,7,700
1175,294801,9,600
1176,745927,5,800
1177,185711,15,6200
1178,213820,18,7800
1179,477683,11,900
1180,186919,8,700
1181,555078,6,900
1182,115170,11,900
1183,416697,9,900
1184,829232,11,4500
1185,714744,8,900
1186,168555,11,10400
1187,33298,10,1100
1188,912238,4,800
1189,231198,12,1000
1190,6250,11,900
1191,602353,13,1000
1192,98284,12,800
1193,628035,8,700
1194,529246,9,900
1195,791470,4,700
1196,462773,8,700
1197,915671,8,4000
1198,497658,8,700
1199,486538,8,700
1200,519527,10,7600
1201,490237,6,700
1202,583821,17,6800
1203,850895,10,1100
1204,167792,10,800
1205,516159,12,1000
1206,565203,10,16900
1207,106326,11,5800
1208,412136,9,900
1209,839521,9,900
1210,392215,10,800
1211,242722,9,800
1212,900043,10,800
1213,565203,6,4500
1214,573507,13,5700
1215,139114,10,4700
1216,265681,7,3900
1217,12799,13,1000
1218,353158,11,900
1219,331124,13,900
1220,915052,10,700
1221,201539,10,800
1222,174304,9,700
1223,587869,8,900
1224,468702,11,5600
1225,296633,9,900
1226,800205,4,1100
1227,548213,9,1161400
1228,767092,7,1400
1229,277105,10,1200
1230,442636,9,1100
1231,739079,9,6300
1232,692194,10,1000
1233,953216,9,1200
1234,448650,8,700
1235,411510,11,1000
1236,593980,11,2700
1237,676466,11,1100
1238,276080,13,2121300
1239,89218,17,12200
1240,587343,8,5100
1241,323098,8,1000
1242,239238,13,5700
1243,67882,16,5800
1244,609242,11,4900
1245,472651,9,1100
1246,115714,11,800
1247,104172,11,900
1248,706412,9,900
1249,733471,13,7800
1250,618801,14,6600
1251,100264,7,800
1252,935579,13,5500
1253,779828,8,3800
1254,296577,10,900
1255,538659,16,7900
1256,879838,8,4200
1257,686967,9,21300
1258,768425,8,4000
1259,210086,6,900
1260,25352,12,1000
1261,944024,7,800
1262,330229,14,1100
1263,484102,10,4700
1264,987426,6,800
1265,314973,7,900
1266,822577,10,1000
1267,120831,10,900
1268,311651,9,800
1269,632018,10,9800
1270,592753,12,5300
1271,829242,9,900
1272,271182,15,5800
1273,795486,4,900
1274,692156,10,900
1275,407534,11,1300
1276,469160,10,900
1277,108530,10,800
1278,658323,8,4200
1279,204898,10,900
1280,967317,4,900
1281,155418,10,1000
1282,598497,10,4100
1283,969232,5,600
1284,477583,13,4900
1285,579382,14,1000
1286,839808,9,700
1287,803110,3,700
1288,281601,12,4300
1289,974530,7,4100
1290,883877,6,600
1291,631270,11,800
1292,609670,10,800
1293,727312,7,700
1294,95146,11,900
1295,618221,10,600
1296,116985,12,4900
1297,576600,9,900
1298,799287,5,600
1299,401488,14,4900
1300,158072,7,800
1301,423974,11,8700
1302,675403,11,800
1303,798114,7,500
1304,814010,14,1000
1305,895857,7,700
1306,932140,5,4200
1307,248274,13,5000
1308,394122,11,900
1309,206092,10,3800
1310,801833,6,700
1311,244657,13,5000
1312,775648,7,800
1313,623669,7,600
1314,138185,10,800
1315,166994,11,900
1316,509210,6,700
1317,916747,12,6900
1318,805010,5,600
1319,950410,9,600
1320,716124,9,3900
1321,511581,8,3600
1322,816567,13,4000
1323,55767,13,900
1324,828033,16,5000
1325,153118,9,800
1326,253791,11,317500
1327,263389,13,11800
1328,685628,7,1700
1329,792436,7,800
1330,111694,13,1300
1331,812363,14,6600
1332,165008,13,5600
1333,166959,14,5100
1334,290674,7,1000
1335,520733,13,5200
1336,913960,8,900
1337,399063,12,4900
1338,346380,13,77000
1339,72314,13,5500
1340,553875,8,900
1341,119070,9,900
1342,471865,4,900
1343,207997,7,900
1344,213344,12,800
1345,185396,12,1000
1346,898013,7,1100
1347,982609,5,700
1348,610899,12,800
1349,818554,7,800
1350,100075,7,700
1351,474165,4,7100
1352,366145,9,5500
1353,388494,8,900
1354,268818,13,1000
1355,373215,5,900
1356,50125,14,900
1357,484997,15,6100
1358,649031,9,4300
1359,115453,9,800
1360,519679,9,900
1361,829366,9,4800
1362,962923,7,1000
1363,563990,8,800
1364,236030,8,800
1365,322739,8,800
1366,118362,10,500
1367,930511,6,5500
1368,57450,13,1200
1369,249043,8,800
1370,982288,5,3700
1371,612234,11,4300
1372,175960,6,3700
1373,583083,14,1200
1374,591991,13,900
1375,926121,5,700
1376,10027,14,5000
1377,424539,8,3600
1378,361361,8,800
