step,key,operations,nanos
789,287458,12,4300
790,151544,17,1000
791,808305,15,3700
792,238680,13,3900
793,568286,14,1400
794,772271,11,2000
795,914795,14,2700
796,264196,13,2400
797,68745,14,3900
798,930410,17,22400
799,304960,13,3500
800,354605,9,1900
801,689060,9,3700
802,776028,10,3600
803,922432,11,1100
804,812860,15,2200
805,579508,7,800
806,579853,9,500
807,149619,17,2700
808,960286,17,2700
809,688090,13,800
810,448386,15,2600
811,295327,16,3000
812,895306,17,3900
813,583083,13,1800
814,927544,13,1900
815,775898,11,3700
816,516505,6,600
817,32952,13,4400
818,900170,19,22300
819,660733,13,4600
820,201519,13,3900
821,494515,13,3800
822,629887,12,3500
823,338745,14,3100
824,733064,16,2900
825,10531,10,3600
826,220665,11,4000
827,687135,12,2500
828,646645,12,3700
829,504968,13,4300
830,206781,17,3900
831,111109,17,1100
832,429500,16,3000
833,372419,10,900
834,245534,12,2300
835,71160,11,3500
836,85682,8,3300
837,36484,5,2800
838,309263,13,4500
839,710339,15,3600
840,915513,11,900
841,174996,14,2600
842,964636,16,2500
843,719262,8,4500
844,217392,13,5700
845,193731,17,900
846,510756,10,2500
847,676232,16,4600
848,713159,12,800
849,224488,9,2700
850,443339,10,900
851,294266,12,700
852,236228,10,900
853,462773,15,3200
854,542386,14,900
855,707874,17,2400
856,607681,7,3600
857,179424,13,4400
858,861891,16,3100
859,463457,14,3200
860,564482,15,1800
861,503717,13,4100
862,404928,12,700
863,623418,16,4400
864,549982,7,5200
865,837889,10,1000
866,331643,9,5000
867,235217,11,800
868,950150,14,2700
869,210295,20,4000
870,221175,6,2100
871,84081,6,700
872,789968,14,4700
873,685958,11,1900
874,101786,11,5700
875,602517,14,900
876,774935,10,6700
877,150447,15,3100
878,965440,15,4800
879,694418,7,900
880,132879,14,5100
881,199358,15,2200
882,899518,18,150000
883,766772,9,3100
884,577147,8,1200
885,600335,13,2200
886,896160,14,4200
887,276163,11,4200
888,920744,16,6200
889,882771,8,2500
890,690347,13,1900
891,742438,14,3300
892,124618,12,5200
893,318183,15,1000
894,803012,11,5900
895,781164,15,2100
896,520118,9,1500
897,978667,14,6000
898,114282,11,4300
899,795234,18,3300
900,305720,9,3500
901,260567,6,5100
902,748217,21,5700
903,31481,8,4300
904,108722,14,3000
905,409783,15,3300
906,491230,12,700
907,777135,13,4800
908,596076,12,900
909,511984,13,3800
910,80960,10,54800
911,77598,6,4200
912,111889,8,4600
913,360708,11,2100
914,518425,13,3800
915,182954,14,2100
916,687373,12,2800
917,496907,12,4000
918,243602,14,7100
919,104036,12,2500
920,358638,9,1900
921,396831,12,4400
922,197279,11,2100
923,408320,12,600
924,272620,8,1600
925,546868,8,700
926,548239,10,2900
927,750731,10,7000
928,151646,19,2600
929,559869,14,800
930,412598,12,1100
931,412632,12,500
932,419443,13,900
933,477870,16,4700
934,163147,11,1000
935,416067,12,900
936,999188,19,3000
937,803713,13,2500
938,272768,13,5400
939,506869,13,800
940,965832,18,2800
941,339001,6,4300
942,82645,9,800
943,591991,11,800
944,767092,10,3400
945,391979,11,6100
946,338420,12,2000
947,225789,11,2800
948,951458,14,3600
949,349213,15,5000
950,402067,15,2800
951,676127,12,3600
952,134179,12,9900
953,529588,10,1300
954,868966,12,3500
955,699771,13,900
956,366547,12,3000
957,432075,14,900
958,375256,13,2100
959,397246,11,500
960,717193,18,3800
961,709188,14,800
962,905763,19,1000
963,317515,15,4400
964,350510,14,800
965,319336,11,1000
966,969656,24,6500
967,733259,16,2400
968,661948,11,900
969,597770,18,3500
970,777026,10,4600
971,434202,17,3200
972,392786,9,4800
973,803543,14,5000
974,194614,12,2700
975,805818,16,3800
976,8936,9,52600
977,100502,14,1100
978,49102,7,3000
979,264409,9,2600
980,495447,12,1000
981,879838,17,7700
982,974721,15,4200
983,958659,18,1100
984,575446,15,2800
985,592362,9,1900
986,741412,9,800
987,514704,15,1000
988,625998,13,3100
989,438823,18,2900
990,182946,13,1600
991,587163,14,900
992,746314,18,4300
993,613975,9,1700
994,537795,14,3900
995,514666,14,600
996,62148,13,4200
997,923088,12,3800
998,152568,10,6800
999,524237,14,800
1000,961533,20,3700
