Номер операции,Время(нс),Количество операций
1152 , 4300 , 9
1153 , 500 , 10
1154 , 2800 , 13
1155 , 600 , 12
1156 , 500 , 6
1157 , 2200 , 8
1158 , 600 , 15
1159 , 400 , 9
1160 , 500 , 14
1161 , 400 , 8
1162 , 400 , 11
1163 , 2500 , 8
1164 , 600 , 10
1165 , 800 , 13
1166 , 800 , 8
1167 , 600 , 14
1168 , 500 , 7
1169 , 3400 , 15
1170 , 600 , 12
1171 , 2600 , 10
1172 , 800 , 14
1173 , 500 , 7
1174 , 500 , 11
1175 , 2100 , 9
1176 , 2200 , 8
1177 , 500 , 9
1178 , 2100 , 11
1179 , 2400 , 12
1180 , 500 , 10
1181 , 500 , 5
1182 , 500 , 10
1183 , 2700 , 13
1184 , 600 , 9
1185 , 400 , 7
1186 , 2200 , 5
1187 , 600 , 9
1188 , 2900 , 15
1189 , 500 , 11
1190 , 2600 , 12
1191 , 500 , 6
1192 , 2500 , 17
1193 , 3900 , 12
1194 , 3200 , 21
1195 , 700 , 7
1196 , 400 , 7
1197 , 400 , 7
1198 , 500 , 4
1199 , 500 , 13
1200 , 300 , 5
1201 , 500 , 14
1202 , 500 , 10
1203 , 500 , 13
1204 , 2500 , 9
1205 , 500 , 13
1206 , 6800 , 11
1207 , 700 , 13
1208 , 2700 , 13
1209 , 600 , 11
1210 , 400 , 12
1211 , 500 , 9
1212 , 500 , 11
1213 , 600 , 8
1214 , 500 , 11
1215 , 2500 , 6
1216 , 500 , 4
1217 , 3200 , 18
1218 , 2500 , 9
1219 , 600 , 11
1220 , 600 , 9
1221 , 500 , 7
1222 , 400 , 6
1223 , 300 , 4
1224 , 600 , 13
1225 , 600 , 12
1226 , 500 , 9
1227 , 400 , 7
1228 , 4800 , 15
1229 , 600 , 13
1230 , 400 , 9
1231 , 400 , 4
1232 , 400 , 15
1233 , 29400 , 9
1234 , 800 , 6
1235 , 700 , 7
1236 , 1000 , 9
1237 , 500 , 14
1238 , 600 , 12
1239 , 400 , 12
1240 , 400 , 12
1241 , 400 , 8
1242 , 500 , 7
1243 , 500 , 6
1244 , 500 , 10
1245 , 600 , 11
1246 , 600 , 11
1247 , 400 , 8
1248 , 4700 , 17
1249 , 600 , 15
1250 , 5400 , 11
1251 , 34500 , 6
1252 , 500 , 4
1253 , 400 , 8
1254 , 400 , 10
1255 , 300 , 12
1256 , 2100 , 12
1257 , 400 , 6
1258 , 300 , 7
1259 , 400 , 14
1260 , 2300 , 13
1261 , 300 , 5
1262 , 400 , 4
1263 , 2200 , 9
1264 , 400 , 8
1265 , 1900 , 13
1266 , 300 , 8
1267 , 500 , 11
1268 , 3000 , 20
1269 , 300 , 7
1270 , 300 , 7
1271 , 1900 , 8
1272 , 1700 , 12
1273 , 7200 , 11
1274 , 2200 , 13
1275 , 400 , 11
1276 , 700 , 7
1277 , 2200 , 9
1278 , 500 , 10
1279 , 2100 , 11
1280 , 400 , 8
1281 , 400 , 13
1282 , 2300 , 7
1283 , 1900 , 10
1284 , 500 , 6
1285 , 400 , 8
1286 , 300 , 16
1287 , 600 , 8
1288 , 2600 , 10
1289 , 400 , 11
1290 , 400 , 11
1291 , 400 , 8
1292 , 3300 , 15
1293 , 400 , 6
1294 , 300 , 3
1295 , 300 , 8
1296 , 300 , 6
